Sno,Customerid,Response,Followup,Channeltype,mail,email,phone,Notes,
1,580,0,1,1,1,0,0,,
2,4824,1,1,3,0,0,1,1,"Channeltype - Follow up channel used. 1 = mail; 2 = e-mail, 3=phone, 0 = no follow-up"
3,196,0,1,2,0,1,0,2,Response - 1 means customer responded to stimuli and 0 means no response
4,785,0,1,1,1,0,0,3,"Followup 1 - yes, 0 - no"
5,4095,0,1,1,1,0,0,4,mail = 1 if used as a followup channel
6,4831,1,1,3,0,0,1,5,email = 1 if used as a followup channel
7,807,0,1,1,1,0,0,6,phone = 1 if used as a followup channel
8,1744,0,1,1,1,0,0,,
9,650,0,1,2,0,1,0,,
10,3568,1,1,2,0,1,0,,
11,1774,0,1,1,1,0,0,,
12,232,0,1,1,1,0,0,,
13,2536,1,1,3,0,0,1,,
14,1003,1,1,3,0,0,1,,
15,1473,1,1,2,0,1,0,,
16,2630,1,1,3,0,0,1,,
17,4436,1,1,2,0,1,0,,
18,684,1,1,2,0,1,0,,
19,1180,1,1,3,0,0,1,,
20,559,1,1,3,0,0,1,,
21,1141,0,1,2,0,1,0,,
22,4164,0,1,2,0,1,0,,
23,4406,1,1,2,0,1,0,,
24,3305,0,1,1,1,0,0,,
25,3227,1,1,3,0,0,1,,
26,1688,0,1,1,1,0,0,,
27,2620,1,1,2,0,1,0,,
28,1582,0,1,1,1,0,0,,
29,3774,0,1,2,0,1,0,,
30,4254,0,1,1,1,0,0,,
31,1658,1,1,3,0,0,1,,
32,1981,1,1,2,0,1,0,,
33,2091,1,1,3,0,0,1,,
34,1365,0,1,2,0,1,0,,
35,363,1,1,2,0,1,0,,
36,2564,1,1,3,0,0,1,,
37,4228,1,1,3,0,0,1,,
38,4136,0,1,2,0,1,0,,
39,4709,0,1,1,1,0,0,,
40,1805,0,1,1,1,0,0,,
41,4040,0,1,1,1,0,0,,
42,1289,1,1,3,0,0,1,,
43,1249,1,1,3,0,0,1,,
44,3882,0,1,2,0,1,0,,
45,931,1,1,3,0,0,1,,
46,2890,0,1,1,1,0,0,,
47,4271,0,1,2,0,1,0,,
48,2118,0,1,1,1,0,0,,
49,52,1,1,3,0,0,1,,
50,4965,0,1,2,0,1,0,,
51,3570,1,1,3,0,0,1,,
52,1981,1,1,3,0,0,1,,
53,3314,0,1,2,0,1,0,,
54,506,1,1,3,0,0,1,,
55,570,1,1,3,0,0,1,,
56,2389,0,1,2,0,1,0,,
57,4261,1,1,2,0,1,0,,
58,3224,1,1,3,0,0,1,,
59,2050,0,1,1,1,0,0,,
60,2116,1,1,3,0,0,1,,
61,1949,0,1,1,1,0,0,,
62,4237,1,1,3,0,0,1,,
63,3077,1,1,3,0,0,1,,
64,2893,0,1,1,1,0,0,,
65,2025,0,1,1,1,0,0,,
66,2253,1,1,2,0,1,0,,
67,2937,1,1,2,0,1,0,,
68,4601,0,1,1,1,0,0,,
69,3230,0,1,2,0,1,0,,
70,1130,0,1,1,1,0,0,,
71,2227,0,1,1,1,0,0,,
72,4717,1,1,3,0,0,1,,
73,113,1,1,3,0,0,1,,
74,4784,1,1,2,0,1,0,,
75,1588,1,1,2,0,1,0,,
76,684,0,1,1,1,0,0,,
77,3421,0,1,1,1,0,0,,
78,1424,1,1,3,0,0,1,,
79,4574,1,1,3,0,0,1,,
80,4759,1,1,3,0,0,1,,
81,1704,1,1,3,0,0,1,,
82,4416,1,1,3,0,0,1,,
83,332,1,1,3,0,0,1,,
84,962,1,1,3,0,0,1,,
85,3859,1,1,3,0,0,1,,
86,2150,0,1,1,1,0,0,,
87,3289,1,1,3,0,0,1,,
88,4016,0,1,2,0,1,0,,
89,3529,0,1,1,1,0,0,,
90,2004,1,1,2,0,1,0,,
91,2645,0,1,1,1,0,0,,
92,1909,0,1,1,1,0,0,,
93,3233,1,1,3,0,0,1,,
94,2328,1,1,3,0,0,1,,
95,369,0,1,2,0,1,0,,
96,1586,1,1,2,0,1,0,,
97,3807,0,1,1,1,0,0,,
98,1938,0,1,2,0,1,0,,
99,126,1,1,3,0,0,1,,
100,2573,1,1,2,0,1,0,,
101,3795,1,1,3,0,0,1,,
102,4241,0,1,1,1,0,0,,
103,1764,1,1,3,0,0,1,,
104,1492,0,1,2,0,1,0,,
105,2184,1,1,3,0,0,1,,
106,702,1,1,2,0,1,0,,
107,4406,1,1,2,0,1,0,,
108,1467,1,1,2,0,1,0,,
109,796,1,1,3,0,0,1,,
110,243,0,1,1,1,0,0,,
111,4697,1,1,3,0,0,1,,
112,4140,0,1,1,1,0,0,,
113,1880,0,1,2,0,1,0,,
114,2420,0,1,2,0,1,0,,
115,111,1,1,2,0,1,0,,
116,879,0,1,2,0,1,0,,
117,3440,0,1,2,0,1,0,,
118,2036,0,1,2,0,1,0,,
119,4957,0,1,1,1,0,0,,
120,328,1,1,2,0,1,0,,
121,573,0,1,1,1,0,0,,
122,4943,1,1,3,0,0,1,,
123,934,1,1,3,0,0,1,,
124,2624,0,1,2,0,1,0,,
125,311,1,1,3,0,0,1,,
126,4443,1,1,3,0,0,1,,
127,3423,0,1,1,1,0,0,,
128,2260,1,1,3,0,0,1,,
129,2253,0,1,1,1,0,0,,
130,3587,0,1,1,1,0,0,,
131,2015,1,1,3,0,0,1,,
132,203,1,1,3,0,0,1,,
133,588,1,1,3,0,0,1,,
134,2434,0,1,1,1,0,0,,
135,1899,1,1,2,0,1,0,,
136,2121,0,1,2,0,1,0,,
137,3370,1,1,3,0,0,1,,
138,4074,1,1,3,0,0,1,,
139,4278,1,1,3,0,0,1,,
140,2985,0,1,2,0,1,0,,
141,3040,1,1,2,0,1,0,,
142,1846,1,1,3,0,0,1,,
143,907,0,1,1,1,0,0,,
144,919,1,1,2,0,1,0,,
145,3947,0,1,2,0,1,0,,
146,4539,1,1,3,0,0,1,,
147,51,1,1,2,0,1,0,,
148,78,0,1,2,0,1,0,,
149,1061,0,1,2,0,1,0,,
150,2399,1,1,3,0,0,1,,
151,407,1,1,2,0,1,0,,
152,2028,1,1,3,0,0,1,,
153,4659,0,1,1,1,0,0,,
154,2616,1,1,2,0,1,0,,
155,4290,1,1,3,0,0,1,,
156,2404,1,1,2,0,1,0,,
157,3730,0,1,2,0,1,0,,
158,2697,0,1,1,1,0,0,,
159,4551,0,1,1,1,0,0,,
160,3869,1,1,3,0,0,1,,
161,425,0,1,1,1,0,0,,
162,1133,0,1,1,1,0,0,,
163,3568,0,1,1,1,0,0,,
164,1103,0,1,1,1,0,0,,
165,1854,1,1,3,0,0,1,,
166,964,1,1,2,0,1,0,,
167,3438,1,1,2,0,1,0,,
168,2480,0,1,2,0,1,0,,
169,158,0,1,1,1,0,0,,
170,4343,0,1,2,0,1,0,,
171,2992,1,1,3,0,0,1,,
172,3531,1,1,2,0,1,0,,
173,869,1,1,3,0,0,1,,
174,4520,0,1,1,1,0,0,,
175,4419,1,1,3,0,0,1,,
176,1150,1,1,3,0,0,1,,
177,4692,0,1,1,1,0,0,,
178,4443,1,1,2,0,1,0,,
179,2388,1,1,3,0,0,1,,
180,913,0,1,2,0,1,0,,
181,40,0,1,1,1,0,0,,
182,4060,0,1,1,1,0,0,,
183,3283,1,1,3,0,0,1,,
184,4396,0,1,2,0,1,0,,
185,1122,1,1,2,0,1,0,,
186,812,0,1,1,1,0,0,,
187,946,0,1,1,1,0,0,,
188,3867,1,1,2,0,1,0,,
189,2414,1,1,3,0,0,1,,
190,1555,1,1,2,0,1,0,,
191,3354,1,1,3,0,0,1,,
192,3459,1,1,2,0,1,0,,
193,1033,1,1,2,0,1,0,,
194,3975,1,1,2,0,1,0,,
195,4888,0,1,1,1,0,0,,
196,1935,1,1,3,0,0,1,,
197,4512,1,1,2,0,1,0,,
198,3792,0,1,1,1,0,0,,
199,2774,0,1,2,0,1,0,,
200,3563,1,1,3,0,0,1,,
201,3473,1,1,2,0,1,0,,
202,768,0,1,2,0,1,0,,
203,3486,0,1,1,1,0,0,,
204,2568,0,1,1,1,0,0,,
205,4468,0,1,1,1,0,0,,
206,725,1,1,2,0,1,0,,
207,2686,1,1,3,0,0,1,,
208,1854,0,1,1,1,0,0,,
209,31,1,1,3,0,0,1,,
210,3983,0,1,2,0,1,0,,
211,1006,1,1,3,0,0,1,,
212,2489,0,1,1,1,0,0,,
213,4536,1,1,3,0,0,1,,
214,3366,0,1,1,1,0,0,,
215,1713,1,1,3,0,0,1,,
216,1338,1,1,3,0,0,1,,
217,1584,1,1,3,0,0,1,,
218,983,1,1,2,0,1,0,,
219,1761,1,1,3,0,0,1,,
220,1512,1,1,3,0,0,1,,
221,2284,0,1,1,1,0,0,,
222,4005,0,1,1,1,0,0,,
223,3066,1,1,3,0,0,1,,
224,463,1,1,3,0,0,1,,
225,1472,0,1,1,1,0,0,,
226,2289,0,1,1,1,0,0,,
227,3277,0,1,1,1,0,0,,
228,1312,1,1,3,0,0,1,,
229,2745,1,1,3,0,0,1,,
230,4124,0,1,1,1,0,0,,
231,307,0,1,1,1,0,0,,
232,4763,0,1,1,1,0,0,,
233,53,1,1,2,0,1,0,,
234,1095,0,1,2,0,1,0,,
235,456,0,1,1,1,0,0,,
236,4608,1,1,3,0,0,1,,
237,4331,0,1,1,1,0,0,,
238,852,1,1,3,0,0,1,,
239,2158,1,1,2,0,1,0,,
240,653,1,1,2,0,1,0,,
241,2258,0,1,2,0,1,0,,
242,2556,0,1,2,0,1,0,,
243,310,0,1,1,1,0,0,,
244,2021,1,1,3,0,0,1,,
245,4287,0,1,2,0,1,0,,
246,79,0,1,2,0,1,0,,
247,2783,1,1,3,0,0,1,,
248,4807,0,1,1,1,0,0,,
249,3553,1,1,3,0,0,1,,
250,4674,0,1,2,0,1,0,,
251,4397,1,1,3,0,0,1,,
252,1448,0,1,1,1,0,0,,
253,3525,0,1,1,1,0,0,,
254,493,1,1,2,0,1,0,,
255,134,1,1,3,0,0,1,,
256,311,1,1,3,0,0,1,,
257,4179,0,1,1,1,0,0,,
258,2188,0,1,1,1,0,0,,
259,1130,1,1,3,0,0,1,,
260,4680,1,1,3,0,0,1,,
261,1994,0,1,2,0,1,0,,
262,1280,0,1,1,1,0,0,,
263,171,0,1,2,0,1,0,,
264,671,1,1,3,0,0,1,,
265,545,0,1,1,1,0,0,,
266,3673,0,1,2,0,1,0,,
267,3999,1,1,3,0,0,1,,
268,1137,0,1,1,1,0,0,,
269,1370,1,1,2,0,1,0,,
270,4459,0,1,1,1,0,0,,
271,432,0,1,1,1,0,0,,
272,854,0,1,1,1,0,0,,
273,2484,1,1,3,0,0,1,,
274,1844,0,1,1,1,0,0,,
275,4739,0,1,2,0,1,0,,
276,2144,0,1,1,1,0,0,,
277,1518,0,1,1,1,0,0,,
278,4295,0,1,1,1,0,0,,
279,4032,0,1,1,1,0,0,,
280,1589,1,1,3,0,0,1,,
281,4231,0,1,1,1,0,0,,
282,1451,1,1,2,0,1,0,,
283,1292,0,1,1,1,0,0,,
284,1708,0,1,2,0,1,0,,
285,227,1,1,2,0,1,0,,
286,446,1,1,2,0,1,0,,
287,4981,1,1,3,0,0,1,,
288,3161,1,1,2,0,1,0,,
289,4765,0,1,2,0,1,0,,
290,3006,1,1,3,0,0,1,,
291,2233,0,1,1,1,0,0,,
292,1134,1,1,3,0,0,1,,
293,1843,1,1,3,0,0,1,,
294,4941,1,1,2,0,1,0,,
295,4334,1,1,3,0,0,1,,
296,2451,1,1,2,0,1,0,,
297,2235,1,1,2,0,1,0,,
298,1510,0,1,1,1,0,0,,
299,3969,0,1,2,0,1,0,,
300,4986,1,1,3,0,0,1,,
301,1636,1,1,3,0,0,1,,
302,4007,0,1,1,1,0,0,,
303,1338,1,1,3,0,0,1,,
304,191,1,1,2,0,1,0,,
305,4321,1,1,3,0,0,1,,
306,1830,0,1,1,1,0,0,,
307,3927,1,1,2,0,1,0,,
308,1504,0,1,1,1,0,0,,
309,1938,0,1,1,1,0,0,,
310,1081,0,1,1,1,0,0,,
311,1364,1,1,3,0,0,1,,
312,3095,1,1,3,0,0,1,,
313,4645,1,1,2,0,1,0,,
314,918,0,1,2,0,1,0,,
315,4300,0,1,1,1,0,0,,
316,4102,1,1,3,0,0,1,,
317,19,0,1,1,1,0,0,,
318,1813,1,1,2,0,1,0,,
319,1824,1,1,3,0,0,1,,
320,2892,1,1,3,0,0,1,,
321,2497,1,1,3,0,0,1,,
322,813,1,1,3,0,0,1,,
323,4171,1,1,2,0,1,0,,
324,4871,0,1,2,0,1,0,,
325,1754,0,1,2,0,1,0,,
326,4227,0,1,2,0,1,0,,
327,1234,1,1,3,0,0,1,,
328,920,0,1,1,1,0,0,,
329,4353,0,1,1,1,0,0,,
330,913,0,1,1,1,0,0,,
331,1565,1,1,3,0,0,1,,
332,3899,1,1,3,0,0,1,,
333,1539,1,1,2,0,1,0,,
334,757,0,1,1,1,0,0,,
335,4606,1,1,2,0,1,0,,
336,421,1,1,3,0,0,1,,
337,1225,0,1,2,0,1,0,,
338,4591,1,1,3,0,0,1,,
339,3721,0,1,1,1,0,0,,
340,99,0,1,2,0,1,0,,
341,1129,1,1,3,0,0,1,,
342,4443,0,1,2,0,1,0,,
343,1241,0,1,2,0,1,0,,
344,1856,0,1,1,1,0,0,,
345,3761,0,1,1,1,0,0,,
346,1952,1,1,2,0,1,0,,
347,2502,0,1,2,0,1,0,,
348,2213,1,1,2,0,1,0,,
349,821,1,1,3,0,0,1,,
350,1703,1,1,3,0,0,1,,
351,3627,1,1,2,0,1,0,,
352,3027,0,1,1,1,0,0,,
353,3749,0,1,2,0,1,0,,
354,1873,1,1,2,0,1,0,,
355,4262,0,1,1,1,0,0,,
356,457,1,1,3,0,0,1,,
357,4049,1,1,2,0,1,0,,
358,2636,1,1,3,0,0,1,,
359,105,0,1,2,0,1,0,,
360,1318,1,1,2,0,1,0,,
361,3957,1,1,2,0,1,0,,
362,3723,1,1,2,0,1,0,,
363,3038,0,1,2,0,1,0,,
364,1413,1,1,3,0,0,1,,
365,2792,0,1,2,0,1,0,,
366,4867,0,1,2,0,1,0,,
367,926,0,1,1,1,0,0,,
368,4488,1,1,2,0,1,0,,
369,1966,0,1,2,0,1,0,,
370,2080,1,1,3,0,0,1,,
371,493,0,1,1,1,0,0,,
372,3429,1,1,2,0,1,0,,
373,1971,1,1,3,0,0,1,,
374,630,1,1,2,0,1,0,,
375,1856,0,1,1,1,0,0,,
376,799,0,1,1,1,0,0,,
377,538,1,1,3,0,0,1,,
378,2068,0,1,1,1,0,0,,
379,3517,0,1,2,0,1,0,,
380,4272,0,1,2,0,1,0,,
